t,y_numerical,y_analytical,error
1.3850000000,0.7097171579,0.7089212354,0.0007959225
1.3900000000,0.7070922182,0.7062945486,0.0007976697
1.3950000000,0.7044558220,0.7036564313,0.0007993908
1.4000000000,0.7018080041,0.7010069184,0.0008010857
1.4050000000,0.6991487998,0.6983460454,0.0008027545
1.4100000000,0.6964782448,0.6956738479,0.0008043969
1.4150000000,0.6937963751,0.6929903621,0.0008060130
1.4200000000,0.6911032274,0.6902956248,0.0008076026
1.4250000000,0.6883988386,0.6875896730,0.0008091656
1.4300000000,0.6856832462,0.6848725442,0.0008107020
1.4350000000,0.6829564880,0.6821442764,0.0008122116
1.4400000000,0.6802186023,0.6794049078,0.0008136945
1.4450000000,0.6774696278,0.6766544774,0.0008151505
1.4500000000,0.6747096037,0.6738930242,0.0008165795
1.4550000000,0.6719385696,0.6711205881,0.0008179815
1.4600000000,0.6691565653,0.6683372090,0.0008193563
1.4650000000,0.6663636314,0.6655429274,0.0008207040
1.4700000000,0.6635598086,0.6627377842,0.0008220244
1.4750000000,0.6607451382,0.6599218207,0.0008233175
1.4800000000,0.6579196619,0.6570950787,0.0008245832
1.4850000000,0.6550834217,0.6542576003,0.0008258214
1.4900000000,0.6522364601,0.6514094280,0.0008270321
1.4950000000,0.6493788201,0.6485506049,0.0008282152
1.5000000000,0.6465105448,0.6456811742,0.0008293706
1.5050000000,0.6436316781,0.6428011798,0.0008304983
1.5100000000,0.6407422641,0.6399106658,0.0008315982
1.5150000000,0.6378423471,0.6370096769,0.0008326703
1.5200000000,0.6349319723,0.6340982579,0.0008337144
1.5250000000,0.6320111849,0.6311764543,0.0008347305
1.5300000000,0.6290800305,0.6282443119,0.0008357186
1.5350000000,0.6261385554,0.6253018768,0.0008366787
1.5400000000,0.6231868061,0.6223491956,0.0008376105
1.5450000000,0.6202248293,0.6193863151,0.0008385142
1.5500000000,0.6172526725,0.6164132829,0.0008393896
1.5550000000,0.6142703833,0.6134301466,0.0008402367
1.5600000000,0.6112780097,0.6104369542,0.0008410555
1.5650000000,0.6082756003,0.6074337544,0.0008418458
1.5700000000,0.6052632037,0.6044205960,0.0008426077
1.5750000000,0.6022408694,0.6013975282,0.0008433411
1.5800000000,0.5992086467,0.5983646007,0.0008440460
1.5850000000,0.5961665858,0.5953218635,0.0008447223
1.5900000000,0.5931147369,0.5922693670,0.0008453699
1.5950000000,0.5900531507,0.5892071619,0.0008459888
1.6000000000,0.5869818784,0.5861352994,0.0008465790
1.6050000000,0.5839009714,0.5830538309,0.0008471405
1.6100000000,0.5808104815,0.5799628084,0.0008476732
1.6150000000,0.5777104610,0.5768622840,0.0008481770
1.6200000000,0.5746009623,0.5737523103,0.0008486519
1.6250000000,0.5714820383,0.5706329404,0.0008490980
1.6300000000,0.5683537425,0.5675042274,0.0008495151
1.6350000000,0.5652161283,0.5643662251,0.0008499032
1.6400000000,0.5620692498,0.5612189875,0.0008502623
1.6450000000,0.5589131613,0.5580625689,0.0008505924
1.6500000000,0.5557479175,0.5548970241,0.0008508934
1.6550000000,0.5525735735,0.5517224082,0.0008511653
1.6600000000,0.5493901846,0.5485387765,0.0008514080
1.6650000000,0.5461978066,0.5453461849,0.0008516217
1.6700000000,0.5429964955,0.5421446894,0.0008518061
1.6750000000,0.5397863079,0.5389343465,0.0008519613
1.6800000000,0.5365673004,0.5357152130,0.0008520874
1.6850000000,0.5333395301,0.5324873460,0.0008521841
1.6900000000,0.5301030545,0.5292508029,0.0008522516
1.6950000000,0.5268579314,0.5260056416,0.0008522898
